51.222.13.193,10084,SOCKS5,3 ms
54.36.26.122,80,HTTP,315 ms
51.38.191.151,80,HTTP,315 ms
51.75.173.161,1080,SOCKS4,397 ms
51.91.174.11,1080,SOCKS4,401 ms
5.135.24.186,808,SOCKS4,408 ms
178.33.14.218,9999,SOCKS4,412 ms
51.91.157.66,80,HTTP,464 ms
51.195.76.214,3128,HTTPS,484 ms
51.77.159.133,80,HTTP,486 ms
185.14.121.211,7890,SOCKS4,529 ms
51.83.234.14,3128,HTTP,615 ms
51.83.241.108,3128,HTTPS,799 ms
51.83.230.121,3128,HTTP,888 ms
51.79.166.152,10084,SOCKS5,1372 ms
62.75.219.49,5566,HTTPS,2037 ms
54.36.82.230,3128,HTTP,2616 ms
188.165.59.127,3128,HTTPS,2779 ms
188.165.226.128,59290,SOCKS5,2947 ms
151.106.17.122,1080,HTTP,3631 ms
62.75.229.155,5566,HTTP,3877 ms
91.134.139.238,3080,SOCKS5,4187 ms
51.38.207.71,3128,HTTP,4271 ms
51.83.190.248,19050,SOCKS5,4462 ms
51.83.232.92,3128,HTTP,4798 ms
62.75.229.165,5566,HTTP,5718 ms
51.68.208.134,8010,HTTP,5906 ms
51.195.151.189,9320,SOCKS5,6955 ms
151.106.18.126,1080,HTTP,6983 ms
51.77.35.133,3128,HTTP,7329 ms
188.165.119.206,1234,SOCKS4,7450 ms
51.83.230.94,3128,HTTP,7779 ms
51.77.141.29,1080,SOCKS5,8177 ms
79.137.34.27,42565,SOCKS4,8953 ms
188.165.254.122,9420,SOCKS5,9000
